Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.213449805430825,0.187672723698956,0.0996664742897102,0.0891540360218903,0.0800391696659047,0.0726986180506249,0.066044698489874,0.0596483821733739,0.0552071700173436,0.0423325971841624,0.0385063399794444,0.0390023343469998,0.0487155482755786,0.0518295999397525,0.0393778277264556,0.0529482148912851,0.0637284718722302,0.0854175063621491,0.154101422395248,0.241722682109421,0.293836993688923,0.412016938260872,0.350370580694022,0.315601773217989,0.299444990875517,..,..,..
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.67810665434977,1.31221260013653,0.774724910911141,0.723790291969695,0.600203707768206,0.654537133005248,0.636625312930768,0.490365059535664,0.560271437384331,0.960164411868586,0.978174680894664,1.05330417594038,1.22954070946998,1.4126971959616,1.37621273504355,1.41249821101668,1.30257636722163,1.32233485532238,1.48431113888781,1.49560019934969,1.57857358391855,1.80371472482914,1.692908325435,1.74921107861166,1.97876331208568,..,..,..
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.97040907146769,2.97689762750172,2.94832202118134,2.95867367391918,3.04688495656533,3.29689131353406,3.3013880155035,2.92237683617194,3.52717359844819,2.99182619894491,2.81754354684473,2.66585151698904,2.81004459252848,2.82611296416802,2.69593129026213,3.22268314970751,2.99218746923841,3.18964147484688,3.16138145760923,3.42301143412689,3.29970368770249,3.29137617567272,3.4602658100588,3.507310028999,3.71740990081817,..,..,..
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.46733566933901,7.18245663566904,6.91205338948512,6.73605484574634,6.4942004243981,6.66205168363352,7.06507147296457,7.23971271783233,7.66078388575348,7.97545440422557,8.01928429423459,7.78695000074249,7.59061514082999,7.31576070618458,7.35862494097896,7.29987193629782,6.74621871565977,6.51946591197707,6.42788662191006,6.12165234069759,6.12259470212791,5.86712994471708,5.91659691135616,5.90075258701787,5.83216995064565,..,..,..
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.420284253935093,0.405450105094649,0.400678652518884,0.430889258172387,0.281092579375306,0.769173425961214,0.71230634143843,0.489209377359545,0.471373910158447,0.574083594706029,0.580352661444089,0.573047492749628,0.720768849363576,0.49797507263628,0.99616547816155,0.979740025619175,1.09888389819981,1.19784398157759,1.18152675944487,1.23249451530002,1.24340558491456,1.2527892548547,1.33084301775372,1.25461721786853,1.29132831504477,..,..,..
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.23352225020991,3.97716433654746,3.85847691700644,3.87997941033487,3.73249766449616,3.73578831551637,3.87898661871265,3.96233550727434,3.99530375324041,4.03306815265608,4.1239710949464,4.09566525976698,4.29331370412445,4.62087452602156,4.77814790894773,4.80699808409801,4.91364436717201,5.13647257088454,5.1945003135881,5.44675735459121,5.53956750932274,5.36340747396024,5.41844653171725,5.36045346745175,5.37764854614412,..,..,..
Arab World,ARB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.98900807203007,3.2072246193607,3.38524699849718,3.63837854997673,3.64485889411981,3.39819976513588,3.30479368251442,3.12484849155533,3.32954827588646,3.30955339218347,3.68444127176971,3.59030296450523,3.58803558092715,3.77988901128049,4.05146516877077,4.16848625623531,4.26823986615522,4.10022627300118,4.39040143437389,4.54215145137159,4.61575820147529,4.53775523602928,4.81363072670862,4.65047416848542,4.86023383242015,..,..,..
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.42648198325077,3.5277038100775,3.60574911697767,3.45716454940218,3.54209501878213,3.65664558182821,3.8114572852461,3.85120269540893,3.85787091570762,4.01069876316536,3.83557366545331,3.56859986610094,3.2915477348924,3.52558427010785,4.06905837986386,4.14123681380597,4.43482145227027,4.38266888371704,4.68291239530182,4.41088989357125,4.55849961171786,4.60029069868628,4.56938367601348,4.46290375453177,4.74679745467325,..,..,..
Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,1.69247300896651,0.759983503305583,0.824155363222745,1.05997745965458,0.809046418882557,1.03230297540508,1.08169212438447,0.975803629439398,1.12891860406022,1.16116768366138,1.00320149299729,1.13613830710125,1.21475152402243,1.46003047705684,1.48117796180497,1.72657017117982,1.91153764158145,1.5094118779305,1.46562189488728,1.71007076482979,1.97606007379797,1.89971173409172,1.9027589101995,..,..,..
